-95,-102,-100,1621,308,339,-514,-1301,-2044,473,337,440,-298,-390,-441
561,-577,-418,2038,411,524,-346,-1852,-2044,520,658,391,-327,-800,-645
472,-352,-173,2038,382,541,-383,-1674,-2044,768,514,381,-398,-643,-621
918,-723,-907,1936,320,414,-377,-1916,-2044,613,580,454,-536,-601,-667
1323,-900,-1322,2038,417,363,-362,-1736,-2044,583,395,407,-343,-590,-615
1080,-792,-817,2038,317,348,-355,-2033,-2044,606,1045,447,-534,-1164,-586
583,-601,-408,2005,370,489,-409,-1344,-2044,618,477,579,-308,-530,-602
1,-136,-69,1889,217,263,-307,-1708,-2044,397,496,322,-380,-652,-598
183,-285,-176,1999,222,418,-342,-1567,-2044,481,438,378,-431,-840,-532
-172,31,54,1631,274,245,-402,-1551,-2044,452,601,321,-271,-414,-434
585,-552,-440,1885,263,330,-379,-1597,-2044,474,654,320,-510,-804,-566
661,-599,-864,1870,177,220,-437,-1531,-2044,428,873,435,-467,-640,-532
766,-608,-553,2038,215,297,-321,-1422,-2044,672,420,476,-376,-498,-637
255,-364,-151,1928,337,287,-366,-1714,-2044,557,689,337,-393,-917,-411
8,-182,-21,1493,262,204,-342,-1391,-2044,326,382,301,-382,-660,-636
