901,-396,-71,2038,465,1396,305,-1596,-960,376,427,370,-1311,-320,-670
853,-485,-10,2038,458,1377,162,-1835,-1094,517,512,256,-999,-554,-724
851,-494,-5,2038,481,1225,188,-1401,-922,664,299,263,-1083,-307,-593
852,-488,-18,2038,268,1068,116,-1224,-1059,513,315,213,-775,-290,-630
856,-485,13,2013,480,1158,182,-1251,-1094,375,227,286,-289,-207,-196
855,-485,-24,2038,425,1124,188,-1214,-909,436,236,261,-607,-279,-369
884,-429,-73,1030,515,917,508,-1072,-827,117,120,498,-85,-484,-105
819,-552,25,2038,90,1149,7,-1598,-1380,565,217,242,-831,-538,-440
839,-520,-8,2038,581,1218,150,-1393,-1189,485,235,258,-820,-285,-543
847,-506,-12,2038,504,1031,39,-1339,-1382,364,184,260,-623,-247,-559
800,-584,68,2038,450,1043,22,-1359,-1229,349,220,200,-636,-241,-334
864,-483,7,1910,592,1026,125,-1304,-1081,305,185,207,-495,-256,-328
848,-507,-0,1785,546,818,56,-1402,-1318,322,155,298,-331,-252,-371
847,-509,-9,1108,486,703,57,-1132,-1284,141,128,259,-144,-329,-120
865,-482,-25,1331,600,558,243,-1291,-1028,216,299,225,-205,-388,-172
