253,-171,-584,2038,2047,2051,-1005,-2048,-2044,870,2793,602,-1005,-2245,-2920
274,-305,-656,2038,2047,2051,-909,-2048,-2044,831,2490,923,-1115,-2272,-2682
638,-91,-665,2038,2047,2051,-833,-2048,-2007,929,3303,711,-1241,-2550,-3787
601,-295,-662,2038,2047,2051,-661,-2048,-2044,869,3469,847,-556,-2945,-2704
629,-140,-552,2038,2047,2051,-812,-2048,-2044,1198,4095,1970,-828,-2029,-2170
582,-51,-768,2038,2005,2051,-733,-2048,-2044,1108,2995,496,-551,-3280,-2314
622,63,-732,2038,2047,2051,-622,-2048,-2044,1507,4077,1257,-1462,-2125,-4095
713,-40,-554,2038,2047,2051,-839,-2048,-2044,1581,3406,2139,-1504,-2321,-3740
447,-30,-844,2038,2047,2051,-737,-2048,-2044,782,2217,764,-1454,-2461,-2788
542,59,-811,2038,2047,2051,-759,-2048,-2044,1056,3949,1158,-2076,-2800,-3585
572,-31,-757,2038,2047,2051,-605,-2048,-2044,638,3528,1478,-1276,-3221,-2490
454,-56,-752,2038,1365,2051,-788,-2048,-2044,1214,1639,864,-559,-1544,-2317
497,-44,-797,2038,2047,2039,-425,-2048,-2044,930,3440,1830,-702,-2355,-2597
488,-12,-821,2038,2047,2051,-536,-1975,-2044,922,1883,1057,-986,-2328,-3686
430,-106,-806,2038,2030,2022,-597,-2048,-2044,1251,3533,671,-1517,-2531,-2332
