-170;-290;-961;1343;285;104;-946;-1117;-1879;667;801;561;-590;-936;-470
-305;-355;-903;1336;475;576;-1026;-1254;-1947;1160;568;453;-569;-866;-727
-493;-225;-872;1307;552;326;-967;-925;-1757;1125;440;846;-1124;-935;-768
-440;-335;-862;768;734;611;-1180;-1219;-1432;1033;578;751;-698;-1093;-1041
-389;-332;-871;963;803;969;-1444;-1936;-1703;938;1024;694;-482;-979;-767
-443;-334;-854;485;658;401;-1173;-1595;-1415;718;1077;619;-297;-815;-733
-456;-345;-852;609;798;682;-1391;-1153;-1452;689;440;746;-323;-394;-662
-493;-377;-812;1032;791;707;-1372;-1359;-1610;1139;1270;826;-412;-1111;-767
-523;-321;-803;1323;923;1167;-1455;-1217;-1596;1487;700;1261;-953;-1223;-1235
-543;-389;-779;504;876;785;-1521;-880;-1758;1090;579;983;-560;-1248;-1257
-595;-300;-785;928;998;966;-1640;-873;-1645;1800;854;1219;-969;-1250;-930
-546;-311;-813;1088;884;675;-1477;-954;-1639;1201;491;1006;-631;-954;-779
-574;-303;-785;979;985;1182;-1462;-1286;-1558;1319;770;950;-482;-791;-928
-592;-285;-777;493;1233;586;-1553;-1199;-1379;1046;697;1016;-381;-1565;-673
-528;-356;-803;634;1085;857;-1245;-1366;-1687;860;759;1010;-318;-835;-715
