-199;-982;-87;977;-202;1762;-715;-1738;-900;211;315;604;-344;-389;-430
-223;-826;-546;1714;-143;1638;-993;-1827;-1366;605;489;438;-650;-642;-681
-98;-899;-441;1367;-122;1735;-750;-1401;-1151;205;404;429;-401;-291;-346
-139;-910;-407;1212;-158;1842;-584;-1402;-1232;181;336;498;-416;-464;-555
-124;-927;-345;1326;-234;1867;-417;-1403;-1103;273;585;357;-423;-477;-542
-111;-930;-367;1384;108;1894;-537;-1315;-1206;213;602;452;-493;-291;-471
-146;-898;-414;1439;-43;1934;-541;-1382;-1255;190;494;460;-396;-410;-483
-145;-942;-312;1656;-123;2051;-517;-1326;-1473;404;352;557;-615;-345;-952
-142;-939;-297;1459;-192;1923;-478;-1456;-1272;408;415;498;-523;-448;-693
-126;-933;-344;1306;276;1576;-439;-1539;-1244;262;580;558;-347;-524;-782
-144;-926;-383;1446;441;1601;-598;-1499;-1458;281;462;717;-672;-442;-620
-192;-901;-420;1464;183;1733;-609;-1544;-1384;246;493;410;-483;-365;-563
-191;-914;-379;1300;542;1623;-554;-1636;-1344;311;507;339;-423;-461;-591
-148;-911;-356;1463;156;1623;-359;-1389;-1507;226;493;487;-454;-339;-589
-146;-932;-357;1733;241;1842;-410;-1376;-1663;306;312;401;-645;-403;-524
